Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
35,2368433,The kite runner ,"Hosseini, Khaled",F HOS,290,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2368433
36,3323615,The mysterious affair at Styles ,"Christie, Agatha",F CHR,281,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3323615
37,2854438,The hollow : a Hercule Poirot mystery ,"Christie, Agatha",F CHR,272,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2854438
38,3280844,The first phone call from heaven ,"Albom, Mitch",F ALB,271,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3280844
39,3254236,The mystery of the blue train : a Hercule Poirot mystery ,"Christie, Agatha",F CHR,267,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3254236
40,3304979,All the light we cannot see : a novel ,"Doerr, Anthony",F DOE,263,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3304979
41,3252797,A murder is announced : a Miss Marple mystery ,"Christie, Agatha",F CHR,261,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3252797
42,2840629,"Oliver Twist, or, The parish boy's progress ","Dickens, Charles",F DIC,260,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2840629
43,3448893,My not so perfect life : a novel ,"Kinsella, Sophie",F KIN,259,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3448893
44,1742314,A tale of two cities ,"Dickens, Charles",,255,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:1742314
45,3497801,Eleanor Oliphant is completely fine ,"Honeyman, Gail",F HON,254,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3497801
46,3277172,Great expectations ,"Dickens, Charles",F DIC,251,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3277172
47,2849191,The plague ,"Camus, Albert",F CAM,251,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2849191
48,3323365,Hercule Poirot's Christmas ,"Christie, Agatha",F CHR,247,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3323365
49,3473859,Little fires everywhere ,"Ng, Celeste",F NGC,247,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3473859
50,3382042,After you ,"Moyes, Jojo",F MOY,245,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3382042
51,2679229,Wuthering Heights ,"Bronte?, Emily",F BRO,244,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:2679229
52,3298143,Sense and sensibility ,"Austen, Jane",F AUS,243,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3298143
53,3566901,The night fire ,"Connelly, Michael",F CON,241,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3566901
54,3535062,I owe you one : a novel ,"Kinsella, Sophie",F KIN,240,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3535062
